address,rent,beds,baths,sq ft,url
"507 E Clark, Champaign, IL 61820",$979,Studio,1 bath,380 sqft.,https://www.smilestudentliving.com/listings/detail/474e3ad6-ae5d-4b71-8aa4-a528a0c6534b
"507 E Clark, Champaign, IL 61820","$1,049",1 bed,1 bath,380 sqft.,https://www.smilestudentliving.com/listings/detail/0c6b156d-9167-48fd-9f71-b840b77fe88f
"1010 W Stoughton, Urbana, IL 61801",$739,2 beds,1 bath,672 sqft.,https://www.smilestudentliving.com/listings/detail/d64e3ef9-185f-4f1d-abcf-11c3f7aa1255
"405 E Stoughton, Champaign, IL 61820","$1,529",1 bed,1 bath,575 sqft.,https://www.smilestudentliving.com/listings/detail/02311c81-8423-484e-b0bc-f8b9f856d348
"405 E Stoughton, Champaign, IL 61820","$1,079",2 beds,2 baths,890 sqft.,https://www.smilestudentliving.com/listings/detail/df972074-9557-4f36-8d3e-291797fcf184
"507 E White, Champaign, IL 61820","$1,200",1 bed,1 bath,476 sqft.,https://www.smilestudentliving.com/listings/detail/a1a9a5ed-beaa-48f8-b72c-ab5742e416fe
"512 E Clark, Champaign, IL 61820","$1,049",1 bed,1 bath,380 sqft.,https://www.smilestudentliving.com/listings/detail/b30e96f8-1c08-452a-97aa-9c8034e86114
"104 N Lincoln Ave, Urbana, IL 61801",$419,3 beds,1 bath,700 sqft.,https://www.smilestudentliving.com/listings/detail/d4964cbf-d362-4596-a415-d73f662e6ccb
"104 N Lincoln Ave, Urbana, IL 61801",$439,4 beds,2 baths,867 sqft.,https://www.smilestudentliving.com/listings/detail/e4830e52-c869-460c-ba4f-746ddc21a0a2
"105 S Wright, Champaign, IL 61820","$1,249",1 bed,1 bath,451 sqft.,https://www.smilestudentliving.com/listings/detail/1be7da8d-db62-4256-97a8-e9dcc66a3b92
"105 S Wright, Champaign, IL 61820",$889,2 beds,2 baths,823 sqft.,https://www.smilestudentliving.com/listings/detail/5ff11cbd-3c98-45fe-96f0-1c277988c063
"106 S Gregory Street, Urbana, IL 61801",$629,4 beds,2 baths,930 sqft.,https://www.smilestudentliving.com/listings/detail/be9874f2-eaa5-465f-ae74-2b86dcd9801b
"207 S Fifth, Champaign, IL 61820",$639,4 beds,2 baths,966 sqft.,https://www.smilestudentliving.com/listings/detail/7f6b6fa7-82ab-4b20-961c-50800a327947
"405 E Stoughton, Champaign, IL 61820",$970,3 beds,3 baths,"1,170 sqft.",https://www.smilestudentliving.com/listings/detail/6fb4c3c5-f33e-4882-9529-ab5003dcf2c8
"405 E Stoughton, Champaign, IL 61820","$1,319",Studio,1 bath,447 sqft.,https://www.smilestudentliving.com/listings/detail/64cdf4b4-cdc7-4563-8858-776eb87808ad
"506 W Elm, Urbana, IL 61801",$370,3 beds,1 bath,819 sqft.,https://www.smilestudentliving.com/listings/detail/293c919d-34ee-4b7f-858a-fab59cf35b38
"512 E Clark, Champaign, IL 61820",$979,Studio,1 bath,380 sqft.,https://www.smilestudentliving.com/listings/detail/a26f4b29-c4d9-45be-9817-d42255bfdb4d
"804 W Illinois Street, Urbana, IL 61801",$909,2 beds,2 baths,696 sqft.,https://www.smilestudentliving.com/listings/detail/f3f6d9d4-1d1e-46e0-8bd9-e8f21926b2be
"805 W Green Street, 303 S Busey Avenue, Urbana, IL 61801","$1,039",1 bed,1 bath,344 sqft.,https://www.smilestudentliving.com/listings/detail/83ae41b5-e97b-4020-bb53-8085c0894b47
"809 W Springfield, Urbana, IL 61801",$379,4 beds,1.5 baths,940 sqft.,https://www.smilestudentliving.com/listings/detail/496ff9e2-c664-4d81-ab5a-56b6fe24b168
"809 W Springfield, Urbana, IL 61801",$399,4 beds,2 baths,940 sqft.,https://www.smilestudentliving.com/listings/detail/360db0e4-3cd7-48fc-8385-61587b929f51
"809 W Stoughton, Urbana, IL 61801",$649,2 beds,1 bath,678 sqft.,https://www.smilestudentliving.com/listings/detail/d24b7110-6b95-48a5-8cb1-ad33b8e987e8
"809 W Stoughton, Urbana, IL 61801",$449,4 beds,1.5 baths,941 sqft.,https://www.smilestudentliving.com/listings/detail/c0d30970-883d-4438-9370-b2f2218ea454
"809 W Stoughton, Urbana, IL 61801",$489,4 beds,2 baths,960 sqft.,https://www.smilestudentliving.com/listings/detail/899646af-4239-4a82-ac7b-082ad48147c5
"510 E Clark St, Champaign, IL 61820","$1,049",Studio,1 bath,380 sqft.,https://www.smilestudentliving.com/listings/detail/f83438f5-989c-4eb1-bd64-322ea55ec1c4
"404 E Clark St, Champaign, IL 61820","$1,349",1 bed,1 bath,467 sqft.,https://www.smilestudentliving.com/listings/detail/0cebe9bc-9c0a-4540-8a3e-a478ae05e09e
"608 E Chalmers St, Champaign, IL 61820","$1,090",4 beds,4 baths,"1,317 sqft.",https://www.smilestudentliving.com/listings/detail/5165b1d4-93f2-4139-a596-70d952585079
"608 E Chalmers St, Champaign, IL 61820","$1,820",1 bed,1 bath,585 sqft.,https://www.smilestudentliving.com/listings/detail/152ca87c-7b2b-4c36-baad-d7ad37032696
"608 E Chalmers St, Champaign, IL 61820","$1,340",2 beds,2 baths,880 sqft.,https://www.smilestudentliving.com/listings/detail/a7ec146a-58d9-452d-9784-ea54c403253b
"608 E Chalmers St, Champaign, IL 61820","$1,200",3 beds,3 baths,"1,145 sqft.",https://www.smilestudentliving.com/listings/detail/d59b4d1f-9e7d-40a8-a4c7-92c2dccae81e
"608 E Chalmers St, Champaign, IL 61820","$1,700",Studio,1 bath,435 sqft.,https://www.smilestudentliving.com/listings/detail/23c93fbb-1d6e-413c-93f7-f54c340e7d56
"615 S Wright, Champaign, IL 61820","$1,059",2 beds,1 bath,760 sqft.,https://www.smilestudentliving.com/listings/detail/8aa0338f-f838-460a-a0f2-b41221e083c2
"615 S Wright, Champaign, IL 61820","$1,179",2 beds,2 baths,800 sqft.,https://www.smilestudentliving.com/listings/detail/34370424-6d0e-46c3-8462-b93659ab9d34
"615 S Wright, Champaign, IL 61820",$960,3 beds,2 baths,900 sqft.,https://www.smilestudentliving.com/listings/detail/45437575-688e-405d-8790-11843c20260d
"615 S Wright, Champaign, IL 61820",$899,4 beds,3 baths,"1,051 sqft.",https://www.smilestudentliving.com/listings/detail/80ab1680-82f8-4f79-b7fa-628e2e6bdf26
"106 E Healey Street, Champaign, IL 61820","$1,329",1 bed,1 bath,540 sqft.,https://www.smilestudentliving.com/listings/detail/f05cdea8-6d3b-44d9-b80a-2d5e92538fdb
"108 E Healey Street, Champaign, IL 61820","$1,329",1 bed,1 bath,540 sqft.,https://www.smilestudentliving.com/listings/detail/8441a38f-3636-4f08-a8c4-f520832924f8
"108 E Healey Street, Champaign, IL 61820",$709,2 beds,1 bath,782 sqft.,https://www.smilestudentliving.com/listings/detail/4984ccd4-34f8-4da1-a3f1-9a4b7e7dc606
"303 E Green Street, Champaign, IL 61820","$1,109",1 bed,1 bath,616 sqft.,https://www.smilestudentliving.com/listings/detail/d7a1a42c-acf6-4a2a-9279-65257d66b6cf
"106 E Healey Street, Champaign, IL 61820",$699,2 beds,1 bath,690 sqft.,https://www.smilestudentliving.com/listings/detail/ced36cd7-dc3e-4599-87ac-baf87b5be8d2
"107 E Healey Street, Champaign, IL 61820","$1,399",1 bed,1 bath,511 sqft.,https://www.smilestudentliving.com/listings/detail/c66f0351-2195-4473-b24d-34939e79da46
"303 E Green Street, Champaign, IL 61820",$620,2 beds,1 bath,546 sqft.,https://www.smilestudentliving.com/listings/detail/95742f3c-93b8-4c5c-a8ed-f5f08d0c127c
"107 E Springfield Avenue, Champaign, IL 61820",$689,2 beds,1 bath,580 sqft.,https://www.smilestudentliving.com/listings/detail/cd673607-d73c-4acd-8174-dccf742d4995
"107 E Springfield Avenue, Champaign, IL 61820",$839,2 beds,2 baths,780 sqft.,https://www.smilestudentliving.com/listings/detail/06927ffe-680b-4b77-bdc6-a0069966ad11
"107 E Springfield Avenue, Champaign, IL 61820",$689,3 beds,2 baths,972 sqft.,https://www.smilestudentliving.com/listings/detail/308ba4dd-dc1b-426c-be23-62d5cb12988a
"202 E Chalmers St, Champaign, IL 61820",$779,4 beds,3 baths,"1,100 sqft.",https://www.smilestudentliving.com/listings/detail/1d22fb85-aa43-4582-8483-6f3591a6254f
"304 E Daniel, Champaign, IL 61820",$739,4 beds,2 baths,"1,095 sqft.",https://www.smilestudentliving.com/listings/detail/b5a1d36c-86cc-4b41-a878-faaf2c6fd1c8
"408 E Springfield, Champaign, IL 61820","$1,389",1 bed,1 bath,428 sqft.,https://www.smilestudentliving.com/listings/detail/9e12ff87-f72f-4c98-8137-96a7402bd80b
"408 E Springfield, Champaign, IL 61820",$869,2 beds,2 baths,722 sqft.,https://www.smilestudentliving.com/listings/detail/0d0e687e-93ad-469a-9ff7-e764b819b037
"408 E Healey St, Champaign, IL 61820","$1,500",1 bed,1 bath,480 sqft.,https://www.smilestudentliving.com/listings/detail/337498ab-1f11-42dc-b7af-d30ed4d56e16
"408 E Healey St, Champaign, IL 61820",$809,2 beds,1 bath,660 sqft.,https://www.smilestudentliving.com/listings/detail/87fd89bd-625d-48d1-bcf5-be94a2c689d2
"408 E Healey St, Champaign, IL 61820",$699,4 beds,2 baths,"1,004 sqft.",https://www.smilestudentliving.com/listings/detail/3236b874-7fcc-4f92-a8d1-ce53211f1215
"48 E John, Champaign, IL 61820",$729,3 beds,3 baths,330 sqft.,https://www.smilestudentliving.com/listings/detail/15bd12e1-b550-4948-bd10-b7446b603da6
"402 S Fifth Street, Champaign, IL 61820",$759,3 beds,3 baths,964 sqft.,https://www.smilestudentliving.com/listings/detail/ad173794-ea89-4fd7-b0a1-dca3cda6f12c
"507 S Fourth, Champaign, IL 61820","$1,439",1 bed,1 bath,558 sqft.,https://www.smilestudentliving.com/listings/detail/042eca22-5cac-4423-93a1-2dc5e6fe86a2
"512 E Green St, Champaign, IL 61820",$979,2 beds,1 bath,767 sqft.,https://www.smilestudentliving.com/listings/detail/127419f9-394b-4cf8-b043-2a0c27d7e072
"512 E Green St, Champaign, IL 61820",$899,4 beds,2 baths,"1,325 sqft.",https://www.smilestudentliving.com/listings/detail/78e4bdcc-8ddc-42f2-bb12-adcc4108acdc
"512 E Green St, Champaign, IL 61820",$919,4 beds,3 baths,"1,200 sqft.",https://www.smilestudentliving.com/listings/detail/aa48b98e-9332-45dc-adee-970bb3ed22ee
"52 E Armory, Champaign, IL 61820","$1,229",1 bed,1 bath,457 sqft.,https://www.smilestudentliving.com/listings/detail/d171a89f-0729-4862-af6e-53b5fd8135fc
"52 E Armory, Champaign, IL 61820",$839,2 beds,2 baths,670 sqft.,https://www.smilestudentliving.com/listings/detail/95e7520c-8790-44ba-952f-e55f5621f422
"57 E Chalmers Street, Champaign, IL 61820","$1,299",1 bed,1 bath,475 sqft.,https://www.smilestudentliving.com/listings/detail/adf15a15-e5ae-4546-8f76-fcffda04ad19
"903 S Locust Street, Champaign, IL 61820",$679,3 beds,2.5 baths,886 sqft.,https://www.smilestudentliving.com/listings/detail/87211cbc-b22e-4dbb-92aa-6dd8d644ae7d
"903 S Locust Street, Champaign, IL 61820",$719,3 beds,3 baths,886 sqft.,https://www.smilestudentliving.com/listings/detail/5d32145f-a3ae-4e36-afc8-53e9fe13c459
"909 S Locust Street, Champaign, IL 61820",$679,3 beds,2.5 baths,886 sqft.,https://www.smilestudentliving.com/listings/detail/eeeb5d47-825f-46ff-8078-9d5324587d88
"909 S Locust Street, Champaign, IL 61820",$719,3 beds,3 baths,886 sqft.,https://www.smilestudentliving.com/listings/detail/63b8cb0c-572d-47ca-8cd2-0949f53b7218
